Id; Prenom; Nom; Sexe; Equipe; Epreuve; Annonce; Resultat; Place
15;Stephanie;DELICOURT;F;Enjoy And Relax;spd;120;1;0
7;Anne;BORGAT;F;CYRNEA;spd;70;2;0
41;Omr;SALEH;H;SOLO;spd;100;1;0
34;Stéphane;PETTENUZZO;H;LIMULES;spd;85;2;0
20;Richard;JAUFFRAUD;H;Imashi;spd;75;3;0
27;Christopher;BRATANIC;H;Les Cormorans 2;spd;60;4;0
37;Aurélien;LANOISELIER;H;SavoyOuBien?;spd;60;5;0
1;Martin;ZAJAC;H;Apneaman, Praha, Czech Republic;spd;50;6;0
42;Christian;VOGLER;H;Sportpleizh;spd;50;7;0
22;Alexandre;GASS;H;Les Cormorans 1;spd;45;8;0
